network_type,group,median_vote,score_gini,vote_var,vote_mad,vote_kurt
hete,0,27,0.150190492534752,952.1046153846156,25.28994082840236,-0.7866470905922505
hete,1,27,0.15104329311568493,986.506153846154,27.065088757396445,-1.0102584013718838
hete,2,50,0.06720383693045562,742.3384615384613,22.532544378698223,-1.034716134557026
hete,3,22,0.18140801244651897,671.8953846153847,19.66863905325444,0.1986642472395972
hete,4,36,0.10928942807625655,1016.2338461538461,25.846153846153847,-0.6293806790065166
hete,5,27,0.1505326278659612,524.8384615384614,16.727810650887573,1.8205283070931984
hete,6,48,0.07266232998225884,936.4815384615384,25.254437869822485,-0.9682386123741225
hete,7,30,0.1351960313650184,1023.5215384615383,26.70118343195266,-0.9341903596697172
hete,8,25,0.1619930644278153,864.4061538461539,23.42603550295858,-0.4000471175241622
hete,9,35,0.11485705821359797,902.0861538461537,23.52662721893491,-0.45830348047933755
hete,10,30,0.13477979274611404,1030.6784615384615,26.571005917159763,-0.6868942936105453
hete,11,40,0.09563686382393412,1184.5784615384614,30.76923076923077,-1.388155294903225
hete,12,32,0.12734334698831742,562.9799999999999,21.153846153846153,-1.480561387549644
hete,13,32,0.127072302213965,716.8861538461539,20.52662721893491,0.2123785705093808
hete,14,28,0.1454284282612326,690.3015384615386,20.023668639053255,1.1321791673244492
hete,15,23,0.17339439038351442,743.2015384615385,22.144970414201183,0.3312038253087666
hete,16,34,0.11662143619454164,973.4953846153845,25.857988165680474,-0.7740680779042997
hete,17,26,0.1543968871595331,745.2061538461539,23.01775147928994,-0.40399867042121684
hete,18,22,0.18118093791532192,1032.4384615384613,26.180473372781062,-0.3512895007575527
hete,19,37,0.11332007952286287,997.9057971014494,25.631944444444443,-0.7300533939363807
homo,0,20,0.1932654792196776,755.3538461538463,20.745562130177515,0.9319085836537107
homo,1,31,0.1291011055920526,781.9384615384615,22.118343195266274,-0.37539465510582115
homo,2,38,0.10329487001251209,823.38,21.692307692307693,-0.08871872694021565
homo,3,30,0.13572769206298696,494.32153846153847,18.08284023668639,-0.710449154155155
homo,4,28,0.14579400620048225,840.4061538461538,23.248520710059175,0.057546287877922264
homo,5,45,0.08205584383493945,992.3815384615383,26.76923076923077,-1.0758862709579
homo,6,22,0.17547374773687388,1177.9646153846154,28.35207100591716,-0.6970721198328649
homo,7,23,0.1745578747628082,821.0415384615385,21.440828402366865,0.7063449256570951
homo,8,30,0.13505091320510762,910.1553846153848,22.804733727810653,0.1551958058359273
homo,9,26,0.1573361823361823,838.3446153846153,23.254437869822485,-0.2127719979508096
homo,10,36,0.10964250106822401,805.1384615384616,22.615384615384617,-0.22936928264728929
homo,11,30,0.134340572867485,795.0153846153845,21.49112426035503,0.4084102605263258
homo,12,28,0.14568757436681964,866.2953846153848,25.33136094674557,-0.857197423537261
homo,13,32,0.1232775386577396,516.4815384615383,18.96153846153846,0.056595344785243196
homo,14,23,0.1738398914518318,1031.8600000000001,26.03846153846154,-0.2589824252651103
homo,15,23,0.17544918998527265,793.2984615384614,23.65680473372781,-0.11406626440986267
homo,16,26,0.1564798850574712,864.2661538461538,24.53550295857988,-0.47266350165664983
homo,17,42,0.08984527369652834,629.9138461538461,19.923076923076923,0.018512725704660227
homo,18,42,0.0895283645542715,860.2953846153846,23.254437869822482,-0.6890367824980217
poor,0,20,0.1952214546932141,773.3061538461538,20.532544378698223,1.1775790037302247
poor,1,24,0.16534735260983854,773.1015384615386,23.005917159763314,-0.6064969610122675
poor,2,45,0.07994301256313956,878.2415384615384,23.346153846153847,-0.6705059867854071
poor,3,20,0.19534902763561926,463.0784615384617,16.733727810650887,0.18171957107136105
poor,4,28,0.14462580426684726,1119.0215384615385,26.840236686390533,-0.5789742659572554
poor,5,35,0.11404293649602155,1005.4584615384617,26.85207100591716,-0.9564237898749379
poor,6,26,0.15448618001417427,1031.5384615384617,26.313609467455624,-0.5872204238781378
poor,7,20,0.19598948857893675,204.33846153846153,10.810650887573964,0.4293191839326784
poor,8,20,0.1959143327841845,1136.6153846153843,28.106508875739642,-0.6588833990881775
poor,9,21,0.1896582227583435,520.9661538461538,18.088757396449704,-0.3187027761682293
poor,10,36,0.10948913512735638,770.1984615384615,22.192307692307693,0.07969668909313032
poor,11,30,0.13301712779973662,799.4215384615381,22.633136094674562,0.10229188235228515
poor,12,48,0.07368999885439366,769.8646153846153,23.86390532544378,-1.0513329095672195
poor,13,33,0.1217772404412877,602.4184615384615,18.733727810650887,0.7827541530972981
poor,14,28,0.1464651553316538,638.1061538461538,20.011834319526624,0.3439157361033276
poor,15,23,0.1736440030557678,598.0861538461537,20.952662721893493,0.0266637505014633
poor,16,25,0.1599999999999999,867.5815384615385,23.964497041420113,-0.2051595539170048
poor,17,28,0.14536552193131588,899.3846153846154,24.958579881656803,-0.5300668718571977
poor,18,26,0.15733056708160456,1010.401538461538,26.177514792899405,-0.7049383101727922
repr,0,30,0.1362667538411246,902.0738461538459,23.781065088757398,-0.10060347183690999
repr,1,22,0.1818937644341801,716.173846153846,20.754437869822485,0.4297114880952808
repr,2,30,0.13387833923398776,945.9138461538464,25.59171597633136,-0.631184095868381
repr,3,24,0.16596484596484598,980.8553846153847,24.01775147928994,0.3211053983632648
repr,4,26,0.15618181818181828,839.5446153846154,21.319526627218938,0.8277448424412635
repr,5,29,0.1403929084810733,1039.2984615384614,24.213017751479285,-0.09244889132785472
repr,6,36,0.107031273606285,1067.8846153846155,27.505917159763314,-1.1610894709298532
repr,7,25,0.16293436293436286,1353.2738461538463,32.52071005917159,-1.3186542460476787
repr,8,27,0.15004531195538515,656.4138461538461,20.91715976331361,0.05684238510966333
repr,9,30,0.14396658233805965,617.7971014492753,17.63888888888889,1.4169926422394354
rich,0,32,0.12435006435006425,900.7215384615384,24.10059171597633,-0.7864802327267655
rich,1,30,0.13567719530345643,980.9984615384618,25.958579881656803,-0.9182259414840019
rich,2,40,0.09615179048637122,723.3046153846152,22.479289940828405,-1.110128851633764
rich,3,30,0.13729972708299887,646.48,20.384615384615383,-0.5622924038155261
rich,4,36,0.10958663148636759,730.7261538461538,22.692307692307693,-0.430432188661539
rich,5,23,0.1758953951108585,505.2446153846154,18.4792899408284,-0.47196170581366337
rich,6,30,0.13237613751263905,1144.873846153846,29.692307692307693,-1.3422774817564904
rich,7,45,0.08113720642768857,1249.4338461538462,30.781065088757398,-1.4298871269170934
rich,8,32,0.1255785251465596,626.7215384615383,18.5,0.11130669171926488
rich,9,40,0.09682900432900425,1104.8799999999999,26.923076923076923,-0.9868321065205605
rich,10,30,0.13487122060470327,1050.2584615384615,27.224852071005916,-0.8511711842264411
rich,11,36,0.11033996332345888,1208.2338461538463,30.544378698224854,-1.3256004979830265
rich,12,20,0.1957254418413481,560.1061538461538,20.029585798816566,-1.0334504225344
rich,13,30,0.1327381745502999,649.7246153846154,20.213017751479292,0.07975928036348456
rich,14,23,0.1724754382585245,1082.6338461538462,25.83431952662722,-0.05326029082868766
rich,15,23,0.17520691557844398,938.8753846153846,24.937869822485204,-0.1159142553775836
rich,16,40,0.09585276073619634,924.3584615384613,24.96153846153846,-0.7984062153994338
rich,17,42,0.08868530020703946,539.9815384615385,18.745562130177515,0.11753104277221782
rich,18,33,0.12026184538653364,919.9015384615384,24.485207100591722,-0.5636851017426352
rich,19,48,0.07850848445124177,748.6014492753623,22.368055555555554,-0.6123180662165066
segr,0,15,0.23559745463115722,198.59846153846152,10.585798816568047,0.35210635603739115
segr,1,20,0.19629400864731295,429.1584615384615,14.792899408284025,1.6183963721717216
segr,2,20,0.1933416980342952,658.2415384615384,21.005917159763314,-0.20481889189327296
segr,3,20,0.1958680969408026,720.34,19.076923076923077,1.793793176501338
segr,4,10,0.29869842148989195,543.5953846153847,16.624260355029584,3.6360797100633633
segr,5,20,0.19531028906407927,614.6600000000002,17.46153846153846,1.5522535194165208
segr,6,22,0.18083739045764372,816.5061538461537,22.713017751479285,0.07875097275832887
segr,7,39,0.09910848991907822,735.7861538461538,22.346153846153847,-0.5060484417748112
segr,8,15,0.23622458857696027,604.8553846153847,16.189349112426036,3.9173380435102727
segr,9,22,0.19161082900153245,1059.853260869565,25.75,-0.21949734620275363
