network_type,group,median_vote,score_gini,vote_var,vote_mad,vote_kurt
hete,105,30,0.14494406160659706,988.2590579710144,24.913194444444443,-0.5991809103517745
hete,111,21,0.20046117904062638,644.144927536232,19.666666666666668,0.5949000372936375
hete,117,38,0.1108118507118123,1101.8097826086957,28.84375,-1.218939278037702
hete,205,48,0.07930031632696444,761.9347826086956,22.0,-0.6441919745488707
hete,211,17,0.2330385464653598,769.8677536231884,20.770833333333332,1.3220369744356226
hete,217,38,0.1108118507118123,993.6938405797102,25.798611111111114,-0.720495968690364
hete,305,31,0.14001583377764854,687.5579710144928,19.944444444444443,0.5729716439041721
hete,311,23,0.1856168796822557,957.9981884057969,25.555555555555557,-0.6138639278987519
hete,317,28,0.15571083505866126,657.8260869565219,20.916666666666668,-0.2942267172061124
hete,323,31,0.14001583377764854,901.3460144927537,24.767361111111114,-0.6576043692276552
hete,901,32,0.13586558369167073,1136.434782608696,29.166666666666668,-1.1644224925027409
hete,902,32,0.13586558369167073,1098.8677536231885,28.875,-1.1166772886376068
hete,903,18,0.22440815791199425,693.4782608695652,22.916666666666668,-0.7162116881713034
hete,904,30,0.14494406160659706,788.9112318840577,22.565972222222225,0.111521491342637
hete,905,28,0.15571083505866126,984.1739130434784,25.708333333333332,-0.540856053879867
hete,906,37,0.11497487583353333,1234.2880434782608,29.885416666666668,-1.1727530516603568
hete,907,50,0.07438349508810602,870.0271739130435,23.28125,-0.9006770922538552
hete,908,33,0.13142025857012135,717.6938405797101,20.81597222222222,-0.28482465696164105
hete,909,28,0.15571083505866126,702.6503623188406,20.506944444444446,0.3092724595266674
hete,910,26,0.16757810384969407,548.911231884058,17.697916666666668,1.3704472977125564
homo,106,20,0.20807453416149074,763.644927536232,19.944444444444443,1.952067687171323
homo,112,22,0.19587010538942673,1106.0592885375493,27.164461247637053,-0.5606788752696703
homo,118,26,0.16757810384969407,1004.9981884057972,26.17361111111111,-0.566204653099645
homo,206,38,0.1108118507118123,1238.144927536232,29.194444444444446,-1.0383819891647597
homo,212,30,0.14494406160659706,613.2971014492754,17.944444444444446,1.6826486538553382
homo,218,34,0.12697864104513723,811.6938405797102,22.45486111111111,-0.15616742228865954
homo,306,42,0.0975551005660604,560.231884057971,18.083333333333332,0.6202440493975065
homo,312,45,0.08802132149939101,1068.896739130435,28.125,-1.1480828793075761
homo,318,28,0.15571083505866126,548.6358695652175,18.645833333333332,-0.027039066379102472
homo,324,30,0.14494406160659706,795.1286231884058,22.791666666666668,-0.3456811167734015
homo,901,25,0.17307461971493598,735.3894927536231,21.305555555555557,0.09649105253754131
homo,902,30,0.14494406160659706,773.7373188405796,20.822916666666668,0.5079367388066651
homo,903,25,0.17307461971493598,966.7173913043475,24.708333333333332,-0.11191240336981556
homo,904,23,0.1856168796822557,699.5054347826087,23.229166666666668,-0.9738117365666903
homo,905,26,0.16757810384969407,704.1449275362319,20.88888888888889,0.44207618360332646
homo,906,36,0.11853002070393368,980.0416666666667,24.67361111111111,-0.6278068244105084
homo,907,27,0.1611097911881946,790.9112318840581,21.552083333333332,0.5985805409580887
homo,908,47,0.08216276477146037,566.9981884057971,20.62847222222222,-1.0877900114621013
homo,909,25,0.17307461971493598,888.6014492753623,24.138888888888886,-0.3798453843125973
homo,910,32,0.13586558369167073,543.5634057971015,17.753472222222225,0.7597855311517265
poor,103,25,0.17307461971493598,740.1739130434781,22.0,-0.05057996406665177
poor,109,26,0.16757810384969407,611.2590579710147,18.100694444444446,1.0780954238569382
poor,115,24,0.17940899680030126,939.4764492753624,24.055555555555554,0.3110112688987834
poor,203,26,0.16757810384969407,591.536231884058,21.180555555555554,-0.7463680380258402
poor,209,30,0.14494406160659706,850.1721014492753,23.458333333333332,-0.14815056495636814
poor,215,36,0.11853002070393368,1101.9710144927535,27.138888888888886,-0.8549483916875986
poor,303,38,0.1108118507118123,973.3894927536232,25.458333333333332,-0.6509625901593372
poor,309,34,0.12697864104513723,453.7373188405799,18.07986111111111,-0.9510942139257694
poor,315,20,0.20807453416149074,826.0869565217391,22.75,0.07267216620498695
poor,321,25,0.17307461971493598,793.304347826087,21.291666666666668,0.6822828339342588
poor,901,20,0.20807453416149074,761.8242753623188,19.555555555555557,2.106793018588508
poor,902,23,0.18796632070359723,837.2924901185771,22.102079395085067,0.29880321280594524
poor,903,25,0.17307461971493598,1039.6449275362318,27.51388888888889,-0.8432422754333144
poor,904,50,0.07438349508810602,906.461956521739,22.96875,-0.7297102904218637
poor,905,20,0.20807453416149074,459.9130434782609,15.083333333333334,3.7908395585954304
