network_type,group,median_vote,score_gini,vote_var,vote_mad,vote_kurt
hete,0,30,0.1465042687147707,1031.3315217391303,25.260416666666668,-0.6928981858363676
hete,1,20,0.20660275776994888,733.8260869565217,19.958333333333332,1.3640753552806792
hete,2,46,0.08465278484879347,693.4764492753623,21.291666666666668,-0.7001997727671663
hete,3,30,0.14403710959031893,897.9057971014494,24.395833333333332,-0.38751229525858966
hete,4,32,0.13319238900634248,977.288043478261,24.979166666666668,-0.5909333313511542
hete,5,25,0.17261959755353934,472.25362318840564,17.01388888888889,1.281447997678275
hete,6,28,0.15597869323095023,1116.998188405797,26.86111111111111,-0.5118998756424564
hete,7,25,0.17309816561939775,909.6938405797101,24.631944444444446,-0.6272384430382769
hete,8,28,0.153550931930847,680.9112318840579,21.684027777777782,-0.21687602769445347
hete,9,22,0.190742095736897,960.1449275362321,25.25,-0.20884284149519283
hete,10,28,0.15571005359864376,971.215579710145,26.65625,-1.038983122900871
hete,11,40,0.10349303671175357,935.389492753623,25.631944444444443,-1.1196391241380566
hete,12,30,0.1415134599955617,1314.8623188405797,31.090277777777782,-1.2034192345245058
hete,13,30,0.14669481113795466,583.1721014492754,18.784722222222225,0.3715418512380162
hete,14,44,0.09153520584840319,646.7753623188406,19.75,-0.29784378805301737
hete,15,30,0.1446934712389198,1071.5923913043478,27.614583333333332,-0.8788496606544607
hete,16,36,0.11794618686528761,1139.6793478260872,28.9375,-1.162050972121543
hete,17,34,0.1252202356027146,705.9836956521739,22.625,-0.6874481178031511
hete,18,30,0.14565622216824556,778.4927536231885,21.541666666666668,-0.17785403496758745
hete,19,32,0.13439390903626525,473.7101449275362,18.555555555555554,-1.1209276151676673
hete,20,36,0.11823009642747775,1257.3315217391303,30.354166666666668,-1.293563063949703
hete,21,37,0.11398833690115881,1181.6068840579712,30.256944444444446,-1.4190220939926965
hete,22,32,0.13614100714863123,680.0416666666667,21.45138888888889,-0.5612886511082538
hete,23,40,0.10420847268673371,728.2010869565217,19.885416666666668,-0.06300980214260044
hete,24,42,0.09575853440693792,939.2590579710144,26.211805555555554,-1.151359507220934
hete,25,39,0.10790840285067124,806.6938405797101,22.458333333333332,-0.4326033191629839
hete,26,30,0.14648677926042658,979.4492753623186,26.583333333333332,-0.6977858227775
hete,27,52,0.06983313809126121,1049.461956521739,27.78125,-1.1581405562587421
hete,28,22,0.19652891244570203,568.1576086956522,18.135416666666668,1.7417533318204512
hete,29,39,0.10746436736382951,1018.606884057971,25.690972222222218,-0.8029272066696298
hete,30,30,0.14567611750524279,577.4130434782609,18.291666666666668,0.4970469316601078
hete,31,20,0.20800040304297432,535.2101449275362,17.569444444444443,1.6893393172236761
hete,32,33,0.13107199751330786,679.623188405797,20.208333333333332,0.1828434502986731
hete,33,20,0.2051946410515674,547.8242753623188,17.70138888888889,1.6186027621546621
hete,34,35,0.12244257069731646,1178.1666666666667,28.951388888888886,-1.0625004236669393
hete,35,30,0.14443167218878894,713.8097826086956,21.895833333333332,-0.37164255961021153
hete,36,36,0.11844331641285966,1233.3025362318842,30.04861111111111,-1.2477493983332009
hete,37,28,0.15522595844934675,748.8677536231885,21.701388888888886,0.2276882747757476
hete,38,40,0.10174680101809563,985.5199275362319,25.53125,-0.9127540214460144
hete,39,32,0.13481086754672802,1040.5634057971015,28.295138888888886,-1.286569008656975
hete,40,34,0.12686476468264818,1103.3840579710145,28.868055555555557,-1.157409473135414
